Keys,Definitions,Topic,Name
lăp,"at that time, when",3,3_time_day_night_if
lei,"then, therefore ( then in a logical sense not time) ",53,53_then_therefore_also_but
lei-laǐ,the same ,-1,-1_to_be_of_and
lek,"profit, value  ",0,0_praise_greet_oh_me
"lek, lek sơnĕnh",to show teeth,20,20_teeth_mouth_throat_lick
pơlek sơnĕnh,to show teeth ,20,20_teeth_mouth_throat_lick
lek,of metals to melt,-1,-1_to_be_of_and
lem,"to hem a garment, blanket",7,7_clothes_head_cloth_wrinkled
len,rehash over and over ,41,41_over_change_turn_turning
leng gong,early in the morning around two or three o'clock,3,3_time_day_night_if
lep,grasshopper,27,27_bee_ant_insect_fly
ler,cricket,0,0_praise_greet_oh_me
lĕ,final particle expressing emphasis (possibly not too polite) ,34,34_particle_final_question_imperative
lĕ,final particle used to call attention to the importance of utterance (may be same as above but to be more polite),34,34_particle_final_question_imperative
lĕch,to go out ,12,12_quickly_walking_go_walk
lĕm,"to keep quiet, stop talking (feeling of shame as well)",-1,-1_to_be_of_and
"lêh, năr lêh",holiday ,0,0_praise_greet_oh_me
lêl,"to be worried, afraid ",39,39_afraid_fearful_scary_frightened
bơngai lêl,coward ,-1,-1_to_be_of_and
"lêng ê, ưh kơ lêng ê","not watching out for, not on toes ",-1,-1_to_be_of_and
lễ,let ,0,0_praise_greet_oh_me
lễ inh năm,let me go (and see about it),-1,-1_to_be_of_and
lễ đĕch,"leave it, don't do anything about it ",-1,-1_to_be_of_and
lễ,may also have the idea of throw away especially when preceded by words meaning to throw out ,-1,-1_to_be_of_and
liĕl,to stick out tongue ,20,20_teeth_mouth_throat_lick
liĕm,"good, healthy, well, good-looking",-1,-1_to_be_of_and
"liĕng, 'ba liĕng",rice that has its full grain ,6,6_rice_husked_cooked_grain
lin,gums,20,20_teeth_mouth_throat_lick
ling,"completely of one kind, unmixed",5,5_more_nothing_completely_all
ling-lang,always,5,5_more_nothing_completely_all
līnh,"soldier, army ",0,0_praise_greet_oh_me
liơh,"to taste, lick",20,20_teeth_mouth_throat_lick
loi,more than ,5,5_more_nothing_completely_all
rai loi,to become more and more,-1,-1_to_be_of_and
lon,"intermittent, sick one day and not the next ",24,24_sick_tired_sleep_sickness
choh lon,to leave off hoeing one field and go to another,-1,-1_to_be_of_and
"long, pơlong","to test, try",28,28_look_at_peek_test
"long, mit long ",type of hard jackfruit,-1,-1_to_be_of_and
lŏk,running water from rain,8,8_water_river_sea_stream
lŏng,"to shed skin, to skin",17,17_dark_skin_white_black
lôch,to die ,25,25_died_ceremony_grave_sacrifice
lôh,oh!,0,0_praise_greet_oh_me
lôk-đôk,"to sway back and forth, see-saw, go up and down ",-1,-1_to_be_of_and
lôk-sơlôk,"to become bigger and as dirt in front of plow, waves piling up ",-1,-1_to_be_of_and
lôm,to roll up,56,56_roll_up_curl_curled
lơ,"many, much",5,5_more_nothing_completely_all
lơ-lap lơ-lang,intensive of lơ,29,29_intensive_form_lơ_truly
lơ-leng lơ-lang,intensive of lơ,29,29_intensive_form_lơ_truly
lơi,"profit, gain",0,0_praise_greet_oh_me
lơleh,nobody there ,5,5_more_nothing_completely_all
chang lơleh kơ'bôh,waited but nobody came,3,3_time_day_night_if
lơlei,like that ,52,52_that_there_sight_marker
lơliơ,"why, how, how come",10,10_think_speak_understand_tell
lơlŏu,like this,-1,-1_to_be_of_and
lơlôr,to bend down and go through a hole,37,37_hole_plug_drill_sink
lơlŭ,to rub against something,48,48_clean_wash_dirty_rub
lơlŭt,to press through a crowd,-1,-1_to_be_of_and
lơng,black insect that eats leaves and is edible,-1,-1_to_be_of_and
lỡk,to unroll ,-1,-1_to_be_of_and
lỡk sơkok,to unroll a mat,-1,-1_to_be_of_and
lỡm,"in, inside",-1,-1_to_be_of_and
lỡn,clay ,0,0_praise_greet_oh_me
lỡng,a cow or carabao that can have no offspring,-1,-1_to_be_of_and
lỡp,flood this word to water covering something,8,8_water_river_sea_stream
lu,pluralizer,-1,-1_to_be_of_and
lu-la,cockroach,11,11_bird_birds_rooster_nest
"luăn, luŏn",to swallow  ,20,20_teeth_mouth_throat_lick
"luh, luh lăng","to go quickly, to look at",12,12_quickly_walking_go_walk
lui,to believe,10,10_think_speak_understand_tell
lŭk-lum, to cover head with blanket ,7,7_clothes_head_cloth_wrinkled
"lung, pơlung","to comfort, console, encourage, beg for ",-1,-1_to_be_of_and
"lŭ, lŭ sa",to have appetite for,40,40_eat_eating_food_hungry
lŭch,"the worst, to be at the end ",-1,-1_to_be_of_and
rai lŭch,to become worse ,-1,-1_to_be_of_and
lŭk-lŭnh,to describe something turning over and over as log box pencil,41,41_over_change_turn_turning
lŭn,to be able to fit in ,-1,-1_to_be_of_and
kơ lŭn,to not able to fit in ,-1,-1_to_be_of_and
"lŭng, bơngai lŭng",to always miss target when hunting,2,2_hit_hand_carry_stick
lŭt,to force into a tight place,-1,-1_to_be_of_and
lưk-dưk,the stagger of sick animal because one or more of its feet are lame,-1,-1_to_be_of_and
"""lal",flute ,18,18_thread_weaving_instrument_wind
"""lao",type of bamboo that has thin outside,15,15_bamboo_tube_xylophone_tall
"""leh",of trap to spring ,44,44_trap_animals_bait_pam
"""lĕp-'lĕp",to describe the waving of a flag falling paper ,-1,-1_to_be_of_and
"""lêng-kơ'lêng",to describe a bird gliding with large wings,11,11_bird_birds_rooster_nest
"""lêp-'lêp",descriptive of flapping wings of large bird,11,11_bird_birds_rooster_nest
"""long ","tree, log",19,19_tree_branch_branches_trees
"""lŏ",to grow up (people only),-1,-1_to_be_of_and
"""lŏ boih",mature already (in size),23,23_size_large_fit_wide
bơngai 'lŏ,young people ,-1,-1_to_be_of_and
"""lơ'lĕp-'lơ'lônh-mônh",to describe the flapping of the wings of many birds ,11,11_bird_birds_rooster_nest
'lơ'lŏ,really in truth ,10,10_think_speak_understand_tell
'lơ'lữ,"waving of baby arms, bird's wings to beg for food, to be held",-1,-1_to_be_of_and
'lỡng,good beautiful delicious healthy ,-1,-1_to_be_of_and
'lỡp,young children,14,14_children_law_mother_father
ma,younger brother of father or mother,14,14_children_law_mother_father
ma lai,person who is alleged to eat people ,13,13_person_people_1st_2nd
mah,enough ,5,5_more_nothing_completely_all
mah,so much that even,-1,-1_to_be_of_and
"mai, mŏ mai",daughter-in-law,14,14_children_law_mother_father
maih,gold,46,46_chain_necklace_metal_bracelet
mak klĕng,white in animal forehead,17,17_dark_skin_white_black
"mak, pơyan puih mak",hot dry season,42,42_cold_hot_cool_season
mam,"metal, iron, steel ",46,46_chain_necklace_metal_bracelet
mam chih ,pen ,0,0_praise_greet_oh_me
man ,to shape form with mud cement to build with these materials,-1,-1_to_be_of_and
mao ,to mourn for dead,25,25_died_ceremony_grave_sacrifice
mă,a linking word sometimes similar in use to a relative pronoun in English but it also may link two verbs ,-1,-1_to_be_of_and
pơm mă đunh ,do it for a long time ,3,3_time_day_night_if
mă lei ,but,53,53_then_therefore_also_but
mă tha,even though,-1,-1_to_be_of_and
măk ai,"responsibility, blame, fault ",-1,-1_to_be_of_and
măng,night,3,3_time_day_night_if
măng-mei,firefly,27,27_bee_ant_insect_fly
măng-mĕng,small moth ,27,27_bee_ant_insect_fly
măr ,to be wild,36,36_dog_hunting_prey_wild
măt,eye,55,55_eyes_eye_cockeyed_crosseyed
"măt, măt dêh",expensive,0,0_praise_greet_oh_me
măt,name,-1,-1_to_be_of_and
măt-meng,moth,27,27_bee_ant_insect_fly
me-mo,straw whistle,1,1_noise_sound_tiger_of
meo,cat,-1,-1_to_be_of_and
mĕ,mother,14,14_children_law_mother_father
mĕng mĕng,"to miss someone and think about them continually, to wait expectantly for",3,3_time_day_night_if
mêu,mask to scare people ,39,39_afraid_fearful_scary_frightened
mi,in-laws,14,14_children_law_mother_father
Mi,American,0,0_praise_greet_oh_me
mih,father's or mother's elder brother ,14,14_children_law_mother_father
ming ,"to fix, in some dialects to place, change position of",41,41_over_change_turn_turning
ming yang ,"to placate the spirits, term used when sacrifices are made ",25,25_died_ceremony_grave_sacrifice
mir ,rice field (usually wet rice),6,6_rice_husked_cooked_grain
mit,jackfruit,-1,-1_to_be_of_and
mǐl ,"to hate, have bad attitude toward, be angry with ",22,22_angry_sad_insult_threaten
mǐm ,wild carabao,-1,-1_to_be_of_and
mǐnh,one ,5,5_more_nothing_completely_all
mlaǐ,firecracker,4,4_fire_light_boil_kettle
mlông,large circular things,23,23_size_large_fit_wide
tông mlông,balloon,-1,-1_to_be_of_and
moih,mosquito,27,27_bee_ant_insect_fly
mok,to eat grain-like objects by letting them roll into mouth from hand,20,20_teeth_mouth_throat_lick
"mol, lôch mol","to faint, be in coma ",24,24_sick_tired_sleep_sickness
mon ,"nephew, niece ",14,14_children_law_mother_father
mong ,"to hold, to contain ",-1,-1_to_be_of_and
mot ,"to fast, go without eating",40,40_eat_eating_food_hungry
"mot, klak mot",part of digestive system of cow or carabao,-1,-1_to_be_of_and
mŏ,"daughter-in-law, vocative for daughter",14,14_children_law_mother_father
mŏk,"rice that is nearly ripe that is picked, roasted, pounded and eaten",6,6_rice_husked_cooked_grain
mŏm,to suck ,-1,-1_to_be_of_and
sŏk mŏm,moustache,0,0_praise_greet_oh_me
"mŏng, mŏng chêng",the smallest gong of the chêng set of gongs ,-1,-1_to_be_of_and
môch,"to submerge oneself in, dive in water ",8,8_water_river_sea_stream
mônh,one (used when counting in a series without classifiers),-1,-1_to_be_of_and
mơdơr,"to not be able to eat thing because dish is dirty, feel nauseated",40,40_eat_eating_food_hungry
mơgrǐ,to be dirty,48,48_clean_wash_dirty_rub
mơh,cooked rice,6,6_rice_husked_cooked_grain
mơhơl,to be irritated as when hearing a grating noise,1,1_noise_sound_tiger_of
moi,to invite contracted form of ten watermelon mean easily,-1,-1_to_be_of_and
mơkuei,lizard like iguana,-1,-1_to_be_of_and
mol,afraid to look at,39,39_afraid_fearful_scary_frightened
mơlak-mơlônh,many people doing different things,-1,-1_to_be_of_and
"mơlĕch, đak mơlĕch",spring where you can see water coming out,8,8_water_river_sea_stream
mơlôh,of rice to be almost gone,6,6_rice_husked_cooked_grain
mơlŏu,"shy, bashful, ashamed",-1,-1_to_be_of_and
mơlueng,"to describe drunken people talking, not being able to talk straight",12,12_quickly_walking_go_walk
mơlueng-mơluônh-mônh,"emphatic, pluralized form of mơlueng",-1,-1_to_be_of_and
mơmai,elder sister,14,14_children_law_mother_father
mơmĕng,to be concerned about,-1,-1_to_be_of_and
mơmil,to be angry,22,22_angry_sad_insult_threaten
mơmŏ,to crawl,-1,-1_to_be_of_and
mơmŏng,to describe big stomach from one eating a lot; to describe rounded front of car,26,26_stomach_fat_strong_bloated
mơmơnh,"to grumble, complain, mumble",-1,-1_to_be_of_and
mơmreh,"to worry, be concerned about",-1,-1_to_be_of_and
mơmŭng,a boil at the stage of almost breaking ,4,4_fire_light_boil_kettle
mơn ,"to feel a touch, a bite",-1,-1_to_be_of_and
mơnat,"pity, feel sorry for",0,0_praise_greet_oh_me
mơnă mơnuih,people ,13,13_person_people_1st_2nd
mơni,even though (archaic word),-1,-1_to_be_of_and
mă mơni mơna,even though (archaic word),-1,-1_to_be_of_and
mơ'nah,"a portion; some (do this), some (do that) ",-1,-1_to_be_of_and
mơng ,person who is very strong and rich,-1,-1_to_be_of_and
mơng ,to borrow ,0,0_praise_greet_oh_me
mơngưt-mơngat,describes drunk person walking,12,12_quickly_walking_go_walk
monhal,"very bright light or sunshine, bright reflection",4,4_fire_light_boil_kettle
mơsêh,to have supernatural magic,-1,-1_to_be_of_and
mosêh mơyang,emphatic of mơsêh,-1,-1_to_be_of_and
"mơsǐ, 'nhĕt mơsǐ",type of grass that grows in the water,32,32_grass_weeds_garden_woods
mơti,orphan,0,0_praise_greet_oh_me
mơyang,to have supernatural powers,-1,-1_to_be_of_and
mỡn,also ,53,53_then_therefore_also_but
mỡng,"to listen to, to feel tired ",24,24_sick_tired_sleep_sickness
gô mỡng kơ ih,it's up to you,-1,-1_to_be_of_and
"mu, măng mu",to be very dark,17,17_dark_skin_white_black
muh,nose,-1,-1_to_be_of_and
muh măt,face,-1,-1_to_be_of_and
muih,"to clear bush, jungle to make a field",32,32_grass_weeds_garden_woods
mum,corner,-1,-1_to_be_of_and
muơ,termite ,-1,-1_to_be_of_and
mut,hammer,-1,-1_to_be_of_and
mŭi,broken of rice grain,6,6_rice_husked_cooked_grain
mŭk,possessions,-1,-1_to_be_of_and
mŭl,the corner posts of an individual graveyard,25,25_died_ceremony_grave_sacrifice
mŭn,pimple,-1,-1_to_be_of_and
mưh,if when ,3,3_time_day_night_if
mưk,to speak in one's sleep,24,24_sick_tired_sleep_sickness
"ma, gah 'ma",right side,-1,-1_to_be_of_and
‘mach,chicken lice,11,11_bird_birds_rooster_nest
‘maih,"to want, desire",16,16_desire_want_do_strive
‘mă,to hang on to; climbing or hanging on to tree with arms around tree,19,19_tree_branch_branches_trees
‘măn,"to place, put",-1,-1_to_be_of_and
‘măng,door opening,-1,-1_to_be_of_and
‘măng,times,3,3_time_day_night_if
‘bar măng,twice two times,-1,-1_to_be_of_and
‘măng tăm,immediately,3,3_time_day_night_if
‘me,"to feed, support",-1,-1_to_be_of_and
‘meh,"to want, desire ",16,16_desire_want_do_strive
'mêm,"to value and so in some contexts, to love",16,16_desire_want_do_strive
"'mêu, 'mê chơ'mêu",to designate evil-looking face of tiger ,1,1_noise_sound_tiger_of
'mễ,"bad, dirty, smelly",-1,-1_to_be_of_and
'mễ-'mach,intensive of 'mễ,29,29_intensive_form_lơ_truly
‘mi,to rain,-1,-1_to_be_of_and
‘mih,2nd person dual,13,13_person_people_1st_2nd
‘mlaih,to feel sad as when something valuable is lost,22,22_angry_sad_insult_threaten
'moih,"to want, desire",16,16_desire_want_do_strive
‘mong,to pay back debt ,-1,-1_to_be_of_and
'monh,rope twisted together as opposed to being braided,18,18_thread_weaving_instrument_wind
"'mŏk, 'măng' mŏk",window,0,0_praise_greet_oh_me
‘mŏm,to close mouth on,20,20_teeth_mouth_throat_lick
‘môch,type of ant ,27,27_bee_ant_insect_fly
'mơ'mrơk,easy tickling sensation,-1,-1_to_be_of_and
‘mơn,to reach for,-1,-1_to_be_of_and
‘mơng,to not want to talk,-1,-1_to_be_of_and
‘mur,"to hide, conceal",-1,-1_to_be_of_and
‘mơǐ,to do first,-1,-1_to_be_of_and
na,"then, so, now, therefore ",53,53_then_therefore_also_but
"na, mir na ",rice fields with water ,6,6_rice_husked_cooked_grain
nai ,"different, other ",-1,-1_to_be_of_and
nak,cliff,0,0_praise_greet_oh_me
nar,chain,46,46_chain_necklace_metal_bracelet
se nar,tank,0,0_praise_greet_oh_me
năm,to go,12,12_quickly_walking_go_walk
năng,to look at ,28,28_look_at_peek_test
năr,day ,3,3_time_day_night_if
ne,final particle,34,34_particle_final_question_imperative
nĕ,"negative imperative, don't",-1,-1_to_be_of_and
ni,final particle indicating emphasis,34,34_particle_final_question_imperative
ning-mônh,the future in the future,3,3_time_day_night_if
ning nai kai ning mônh kơnh,emphatic form of ninh mônh,-1,-1_to_be_of_and
no,"""There, told you so!"" ""There, see!""",52,52_that_there_sight_marker
noh,that there,52,52_that_there_sight_marker
nŏng,to be diligent do at the best of one's ability,-1,-1_to_be_of_and
nô,oval-shaped,-1,-1_to_be_of_and
nôt,basket with small neck,-1,-1_to_be_of_and
nỗ,to go ,12,12_quickly_walking_go_walk
nơ,final particle--huh? ,34,34_particle_final_question_imperative
nơh,no definition given,-1,-1_to_be_of_and
nơnăm,to walk,12,12_quickly_walking_go_walk
nơnoh,like that,52,52_that_there_sight_marker
nơnǐng,hard to lift,2,2_hit_hand_carry_stick
nỡn,one-bite-sized,23,23_size_large_fit_wide
nỡr,language word,-1,-1_to_be_of_and
"nu, 'nu nu ",reduplicative form with 'nu 'this' indicating emphasis,-1,-1_to_be_of_and
"nuih, plei nuih",heart (the physical organ) ,-1,-1_to_be_of_and
bơngai nuih,a brave person,-1,-1_to_be_of_and
'naǐ,also,53,53_then_therefore_also_but
'nao,"new, recent, just performed ",3,3_time_day_night_if
'nă hal,to be happy ,-1,-1_to_be_of_and
'nă-'nap,to be happy,-1,-1_to_be_of_and
'năk,trap that spears animals ,44,44_trap_animals_bait_pam
'năr,sun; day in some contexts,3,3_time_day_night_if
'nel-'nơ'nel,"to be enthusiastic, never tiring",16,16_desire_want_do_strive
'nĕ,"negative imperative, don't ",-1,-1_to_be_of_and
'nei,that,52,52_that_there_sight_marker
'nĕk-'nŏk,hiccough,0,0_praise_greet_oh_me
'nĕl-'nơ'nĕl,something trying to get away but unable to ,-1,-1_to_be_of_and
'ni,that,52,52_that_there_sight_marker
'nǐt-'nǐt,"to grow steadily, grow quickly",-1,-1_to_be_of_and
'noh,that (often referring to something in sight),52,52_that_there_sight_marker
"nŏu, 'nâu",this,0,0_praise_greet_oh_me
'nơ'nih,to squirm always be on the go never still,30,30_stop_prevent_keep_doing
'nôm,to urinate ,-1,-1_to_be_of_and
klak 'nôm,bladder,-1,-1_to_be_of_and
nỡm,of a hen to set ,11,11_bird_birds_rooster_nest
'nu,classifier for people ,-1,-1_to_be_of_and
'bar 'nu bơngai,two people,13,13_person_people_1st_2nd
'nu,this,0,0_praise_greet_oh_me
'nŭr,to wrap up,-1,-1_to_be_of_and
ngach,of food to be cold,42,42_cold_hot_cool_season
ngah,of hoe to have too wide of an angle,-1,-1_to_be_of_and
ngang,"only, completely",5,5_more_nothing_completely_all
ngar,charcoal,4,4_fire_light_boil_kettle
ngăl,"only, completely, every",5,5_more_nothing_completely_all
ngăn,to keep quiet,51,51_quiet_laugh_quietly_whisper
ngăp-ngăp,to be very severe with,-1,-1_to_be_of_and
ngăp-ngơngăp,someone,13,13_person_people_1st_2nd
nge,baby,14,14_children_law_mother_father
ngei-ngei,"truly, really, intensive",29,29_intensive_form_lơ_truly
ngeng,to obey,-1,-1_to_be_of_and
nger,"to peek, to put head down",28,28_look_at_peek_test
ngĕng,small red pepper that is very hot,-1,-1_to_be_of_and
ngĕng,disobedient,0,0_praise_greet_oh_me
ngêh,"to suppose, think, think mistakenly",10,10_think_speak_understand_tell
ngêng-jơngêng,to designate a long tell tree or log,19,19_tree_branch_branches_trees
ngễ,to do before doing something else,-1,-1_to_be_of_and
ngễ kơ kiơ,why wait? Why?,3,3_time_day_night_if
ngoi,to look up,28,28_look_at_peek_test
ngok,to drink continually without a break,-1,-1_to_be_of_and
ngong,goose,-1,-1_to_be_of_and
ngor,to describe metallic substance that has been worn away,46,46_chain_necklace_metal_bracelet
ngôi,"to play, relax ",-1,-1_to_be_of_and
chă ngôi,to go out somewhere for enjoyment,12,12_quickly_walking_go_walk
ngôi,image in mirror water,8,8_water_river_sea_stream
ngơk,to put head back,7,7_clothes_head_cloth_wrinkled
ngơnh,"to praise, be amazed at",0,0_praise_greet_oh_me
ngơngei,"truly, really, intensive",29,29_intensive_form_lơ_truly
ngỡr,"to cause, trouble, destroy",25,25_died_ceremony_grave_sacrifice
ngua,to obey,-1,-1_to_be_of_and
nguan,"tame, gentle",-1,-1_to_be_of_and
ngŭi,"very ripe, having reddish color",-1,-1_to_be_of_and
ngưih,to eat off from something e.g. corn cob ,-1,-1_to_be_of_and
ngưp-ngưp,"to be very kind, soft-spoken, well-mannered",10,10_think_speak_understand_tell
'ngaih,outside ,0,0_praise_greet_oh_me
'ngam,sweet ,-1,-1_to_be_of_and
'ngang-kơ'ngang,to smirk ,-1,-1_to_be_of_and
'ngêl-'ngêl,to describe shaking of head,57,57_shake_fear_shaking_from
"'ngiĕo, gah 'ngiĕo",left side ,-1,-1_to_be_of_and
'ngok,brain ,0,0_praise_greet_oh_me
"'ngôch, yuă 'ngôch",to cut hair very close to head  ,50,50_hair_unruly_matted_curly
'ngơn,to peer up over to strain; to see by raising head ,-1,-1_to_be_of_and
'ngơ'ngĕl,to shake head as a child does ,57,57_shake_fear_shaking_from
'ngơ'ngêl,to shake head--of adults and large animals,-1,-1_to_be_of_and
ngơ'ngot,of trees to rub on each other,19,19_tree_branch_branches_trees
'ngơnh,to pull oneself up,2,2_hit_hand_carry_stick
'nguaih,cleaned out all the grass; cleaned out of a garden,32,32_grass_weeds_garden_woods
'nguaih,outside,0,0_praise_greet_oh_me
'ngueng,to sit quietly,51,51_quiet_laugh_quietly_whisper
'nguênh,to stir when sleeping,24,24_sick_tired_sleep_sickness
'nguơng,to not work to play have pleasure ,16,16_desire_want_do_strive
'ngưl-tơ'ngưl,to gradually appear from the water,8,8_water_river_sea_stream
nhah,to hit to do forcefully,2,2_hit_hand_carry_stick
"nhah, brih nhah",to pass by,-1,-1_to_be_of_and
nham,delicious,-1,-1_to_be_of_and
nhap,"corpse, used before names of people who have died, as to whether honorific or what",25,25_died_ceremony_grave_sacrifice
nhă,to drink,-1,-1_to_be_of_and
nhem,to look at self to see if beautiful,28,28_look_at_peek_test
nhen,like as,-1,-1_to_be_of_and
nhet,type of very small freshwater fish,21,21_fish_catch_net_poison
nhĕch,to dodge to the side ,-1,-1_to_be_of_and
nhên,clearly,-1,-1_to_be_of_and
nhi,1st person dual exclusive pronoun,13,13_person_people_1st_2nd
nhĭl-nhĭl,waving back and forth of a light,-1,-1_to_be_of_and
nhĭn-nhŭn,hammock,0,0_praise_greet_oh_me
nhĭnh,to meet suddenly,43,43_together_meet_gather_discuss
nhĭp,of sun to be gone down light out and so dark,-1,-1_to_be_of_and
nhong,stem of pipe,-1,-1_to_be_of_and
nhôn,1st person plural exclusive pronoun,13,13_person_people_1st_2nd
nhơk,to shine a light,-1,-1_to_be_of_and
nhơng,white spot in iris which indicates blindness,55,55_eyes_eye_cockeyed_crosseyed
nhơnhah,"to hit suddenly, slug",2,2_hit_hand_carry_stick
nhơnhĕk,"to be keen to do something, be eager",16,16_desire_want_do_strive
nhơnhĕn,to be nearly cut through,49,49_cut_slices_into_straight
nhơnhĕn-nhơnhônh-mônh,intensive of nhơnhĕn,29,29_intensive_form_lơ_truly
nhơnhuei,very deep,-1,-1_to_be_of_and
"nhơnhuh, nhơnhuh-nhơnhah",to be fearful of something sharp,39,39_afraid_fearful_scary_frightened
nhơnhŭnh,the middle of the sea ,8,8_water_river_sea_stream
nhỡk,octopus or possibly some imaginary animal that grabs people in water,-1,-1_to_be_of_and
nhŭng,pig ,31,31_horse_pig_cow_goat
nhŭp,to dive completely under water,8,8_water_river_sea_stream
nhŭr,to warm oneself by the fire,4,4_fire_light_boil_kettle
nhưm,to dye,17,17_dark_skin_white_black
‘nhao,to wash face ,48,48_clean_wash_dirty_rub
'nhek,soot ,0,0_praise_greet_oh_me
'nhĕk-'nhĕk,to hear only a little about ,1,1_noise_sound_tiger_of
'nhĕm,meat,-1,-1_to_be_of_and
'nhĕng, to covet ,0,0_praise_greet_oh_me
'nhĕr-'nhĕr,to twitch eyelid,55,55_eyes_eye_cockeyed_crosseyed
'nhĕt,"grass, weeds",32,32_grass_weeds_garden_woods
"nhễ, bơngai 'nhễ",crybaby,-1,-1_to_be_of_and
'nhik,hoe,-1,-1_to_be_of_and
'nhik hơdrỡng,hoe with straight blade ,38,38_knife_blade_handle_sword
'nhĭp,"to close eyes, to blink",-1,-1_to_be_of_and
'nhoi,grape-type fruit that grows on tall trees,9,9_fruit_leaf_plant_leaves
'nhot,vegetables,-1,-1_to_be_of_and
'nhŏ,not even ,-1,-1_to_be_of_and
'nhŏng,older brother ,14,14_children_law_mother_father
'nhơ'nhỡp-'nhỡ'nhăp,"dirty, muddy place",48,48_clean_wash_dirty_rub
'nhỡk,electrical magnetism or shock,0,0_praise_greet_oh_me
'nhỡk,to throw something very far ,-1,-1_to_be_of_and
'nhrong,a long piece of cut bamboo,15,15_bamboo_tube_xylophone_tall
'nhui,smoke ,4,4_fire_light_boil_kettle
'nhut,"to feel a pull, a drop ",2,2_hit_hand_carry_stick
'nhŭ,sour,-1,-1_to_be_of_and
'nhưp,of eyes to keep closing when sleepy,-1,-1_to_be_of_and
oaih,expression of grief disappointment,22,22_angry_sad_insult_threaten
oay,expression of grief disappointment,22,22_angry_sad_insult_threaten
och,to become smaller,23,23_size_large_fit_wide
oei,"to be at, sit, continue ",30,30_stop_prevent_keep_doing
oĕt-oĕt,"wag of tail, disobedient",-1,-1_to_be_of_and
oh,younger sibling,14,14_children_law_mother_father
oh,"interjection, oh ",0,0_praise_greet_oh_me
ok,worm ,-1,-1_to_be_of_and
om,to lay around because angry,22,22_angry_sad_insult_threaten
ong,bumblebee,0,0_praise_greet_oh_me
ot,to saw,-1,-1_to_be_of_and
ŏ,the crow of a rooster,11,11_bird_birds_rooster_nest
ŏ,"yes, affirmative ",-1,-1_to_be_of_and
ŏm,happy,-1,-1_to_be_of_and
ŏng,son-in-law,14,14_children_law_mother_father
"ŏu, âu",here this,0,0_praise_greet_oh_me
ô,oh!,0,0_praise_greet_oh_me
ôh,"intensive, often used with negative ",29,29_intensive_form_lơ_truly
"ôi, plei ôi",guava,0,0_praise_greet_oh_me
ôm,to be rotten stink,-1,-1_to_be_of_and
ôn,to hide something,-1,-1_to_be_of_and
ôp,"to wash hands, dishes ",48,48_clean_wash_dirty_rub
ơ,pre-noun vocative,-1,-1_to_be_of_and
ơi,vocative post-noun,-1,-1_to_be_of_and
ơ-ŭr ơ-ăr, the noise of many vehicles,1,1_noise_sound_tiger_of
ơh,"grieved, sad, angry ",22,22_angry_sad_insult_threaten
ơĭ,to have ,-1,-1_to_be_of_and
ơĭ,used to get someone's attention ,10,10_think_speak_understand_tell
ỡ,to burp ,0,0_praise_greet_oh_me
ỡ-uh,"to feel with, to palpate ",16,16_desire_want_do_strive
ỡr-yỡr,to describe loud noise ,1,1_noise_sound_tiger_of
ỡt,"to hold breath, to fast",-1,-1_to_be_of_and
pah,to split ,-1,-1_to_be_of_and
pah,"part, division ",-1,-1_to_be_of_and
pah to,on the other side of the river,8,8_water_river_sea_stream
pai,to cook,4,4_fire_light_boil_kettle
"paih, hla paih",dry leaves,9,9_fruit_leaf_plant_leaves
paĭ,to run through hair to wash it or dry it,50,50_hair_unruly_matted_curly
pak,something to do with one person answering another ,-1,-1_to_be_of_and
pam,small conical fish trap ,-1,-1_to_be_of_and
pang ,the hand in the abstract sense ,2,2_hit_hand_carry_stick
jang 'bar pang ,to work two jobs,-1,-1_to_be_of_and
pang ,small larva of fly,27,27_bee_ant_insect_fly
pao,to say the name of another person ,13,13_person_people_1st_2nd
pap ,to say something over and over often becoming a habit,-1,-1_to_be_of_and
"pap, 'bỡr pap",of a dying person mouth to move gasping for breath ,-1,-1_to_be_of_and
pat ,to sharpen,38,38_knife_blade_handle_sword
pă,"no more, no longer",5,5_more_nothing_completely_all
pă,to braid,18,18_thread_weaving_instrument_wind
păk jăl,to choke as a baby does,-1,-1_to_be_of_and
păk-kê,gecko ,0,0_praise_greet_oh_me
păn ,"to rest, to recuperate, to be sick in bed",24,24_sick_tired_sleep_sickness
păng,"and, with ",53,53_then_therefore_also_but
păr, to fly ,27,27_bee_ant_insect_fly
păt ,of fire to be put out ,4,4_fire_light_boil_kettle
păt ,"to fold, to make tail of arrow",-1,-1_to_be_of_and
pe,to want to sit by the fire all the time,4,4_fire_light_boil_kettle
peh,to pound rice,6,6_rice_husked_cooked_grain
pek,description of running ears and inability to hear,1,1_noise_sound_tiger_of
pel,"to touch, feel ",-1,-1_to_be_of_and
"pel lăng, pel năng",interjection ,0,0_praise_greet_oh_me
pet,to pinch someone ,-1,-1_to_be_of_and
pet,substance made from bee-like insect used as glue or paste ,27,27_bee_ant_insect_fly
pĕch,to cut small wood bamboo in two ,15,15_bamboo_tube_xylophone_tall
pĕch,to dodge,0,0_praise_greet_oh_me
pĕnh,to stretch out cotton to make thread ,18,18_thread_weaving_instrument_wind
pê;,the sound made by the small gong ,-1,-1_to_be_of_and
