,Keys,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
1847,kơtang,"to be strong, courageous, powerful",24,24_depend_badtempered_friendly_kind,"['depend', 'badtempered', 'friendly', 'kind', 'brave', 'tame', 'courageous', 'dependable', 'trust', 'gentle']","['to depend on, trust', 'to depend on, trust in', 'to depend upon, to be dependable, trustworthy']",depend - badtempered - friendly - kind - brave - tame - courageous - dependable - trust - gentle,0.8633824974213741,False
1848,kơtao,sugarcane,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1849,kơtăn,right at the place,77,77_place_there_where_everywhere,"['place', 'there', 'where', 'everywhere', 'island', 'put', 'right', 'over', 'take', 'which']","['place', 'place', 'place']",place - there - where - everywhere - island - put - right - over - take - which,1.0,False
1850,kơtăn,small-sized fruits or vegetables,100,100_jackfruit_cabbage_vegetables_seeds,"['jackfruit', 'cabbage', 'vegetables', 'seeds', 'fruits', 'pechay', 'peanut', 'oily', 'lettuce', 'butter']","['type of hard jackfruit', 'cooked seeds e.g. of jackfruit', 'describes food that is oily and smooth as peanut butter, pounded squash seeds']",jackfruit - cabbage - vegetables - seeds - fruits - pechay - peanut - oily - lettuce - butter,0.9914279288784934,False
1851,kơten,the border on a loincloth ,13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,0.6294682419822308,False
1852,kơtĕch,of string to break,18,18_weaving_thread_rope_weave,"['weaving', 'thread', 'rope', 'weave', 'string', 'instrument', 'wire', 'used', 'cotton', 'sew']","['instrument used to keep thread close together in weaving', 'instrument used carry thread in weaving', 'an instrument used to keep thread in weaving even ']",weaving - thread - rope - weave - string - instrument - wire - used - cotton - sew,0.28149586174784447,False
1853,kơtĕch jơhngỡm,to die,10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,0.9573395919298336,False
1854,kơtha,"to lack, to be slightly cracked chipped",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1855,kơthao,tub,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1856,kơthơ,"letter, written communication",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1857,kơthŭng,"pail, large can",26,26_wine_jar_bottle_gourd,"['wine', 'jar', 'bottle', 'gourd', 'cup', 'pour', 'glass', 'drink', 'great', 'expensive']","['type of expensive wine jar', 'wine', 'wine']",wine - jar - bottle - gourd - cup - pour - glass - drink - great - expensive,0.3074583318454779,False
1858,kơtih,"to be unsettled, wanting to do something but afraid",30,30_afraid_fearful_surprise_concerned,"['afraid', 'fearful', 'surprise', 'concerned', 'frightened', 'dangerous', 'expression', 'be', 'longtounged', 'disgust']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",afraid - fearful - surprise - concerned - frightened - dangerous - expression - be - longtounged - disgust,1.0,False
1859,kơting,bone,45,45_leg_joint_arm_calf,"['leg', 'joint', 'arm', 'calf', 'upper', 'bone', 'amputated', 'veins', 'buttocks', 'either']","['calf of leg', 'of arm, leg to sleep', 'leg']",leg - joint - arm - calf - upper - bone - amputated - veins - buttocks - either,1.0,False
1860,kơtǐ,to move circularly in threshing rice,6,6_rice_husked_cooked_grain,"['rice', 'husked', 'cooked', 'grain', 'grains', 'unhusked', 'pound', 'harvest', 'field', 'pounding']","['cooked rice', 'cooked rice', 'type of rice']",rice - husked - cooked - grain - grains - unhusked - pound - harvest - field - pounding,1.0,False
1861,kơtǐt,to crush e.g. car crushing person,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1862,kơtol,of eggplant to not be thoroughly cooked,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1863,kơtong,"the kick of a horse, cow",14,14_horse_pig_wild_boar,"['horse', 'pig', 'wild', 'boar', 'animal', 'cow', 'oink', 'cowlick', 'wolf', 'cat']","['cowlick of horse or cow', 'horse', 'mane of horse, pig']",horse - pig - wild - boar - animal - cow - oink - cowlick - wolf - cat,1.0,False
1864,kơtonh,fern,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1865,kotŏng,one of three types of local deer,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1866,kơtôch,"piece of wood that has been burned black, charred",7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.5421720368054376,False
1867,kơtơh,chest,22,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']",teeth - between - hold - show - pipe - liver - moustache - molars - spleen - funnylooking,0.2155718784675606,False
1868,kơtơh ăng,have children and all die,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1869,kơtơih,stumble,4,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",fall - down - jump - stand - lean - upon - falling - over - up - quickly,1.0,False
1870,kơtơm,owner,8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.24947914591444298,False
1871,kơtơp,pigeon ,1,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']",bird - birds - wings - rooster - duck - nest - hen - pigeon - chickens - describe,0.9912649505597986,False
1872,kơtỡ,bamboo comb,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.7855110060826586,False
1873,kotỡk,sticky,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1874,kơtỡn,threshold,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1875,kơtỡng,to hear,11,11_think_forget_recognize_understand,"['think', 'forget', 'recognize', 'understand', 'mistakenly', 'test', 'guess', 'know', 'try', 'ask']","['to think mistakenly ', 'to suppose, think, think mistakenly', 'to think']",think - forget - recognize - understand - mistakenly - test - guess - know - try - ask,0.9876665318603686,False
1876,kơtu,"old abandoned village, site of old village",32,32_village_house_villages_intensification,"['village', 'house', 'villages', 'intensification', 'section', 'empty', 'area', 'large', 'old', 'indicate']","['to designate large village', 'large village', 'village']",village - house - villages - intensification - section - empty - area - large - old - indicate,0.8597825991546116,False
1877,kơtua,bridge,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1878,kơtuang,to trip someone with foot,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1879,kơtuăl,"spool, clod of earth",95,95_sprinkle_sprout_blister_scatter,"['sprinkle', 'sprout', 'blister', 'scatter', 'spool', 'clod', 'sputum', 'spongy', 'splash', 'springy']","['to sprinkle, splash water on', 'to sprinkle ', 'to sprinkle']",sprinkle - sprout - blister - scatter - spool - clod - sputum - spongy - splash - springy,1.0,False
1880,kơtuh,"cabinet, wardrobe",13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,1.0,False
1881,kơtul,"stupid, not intelligent",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1882,kơtum,relatives,8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.8122954742016432,False
1883,kơtum kơtŏng,intensive of kơtum,23,23_intensive_form_truly_really,"['intensive', 'form', 'truly', 'really', 'klk', 'tkul', 'tm', 'tring', 'nhnhn', 'trp']","['intensive of trăp', 'intensive of kơtum', 'intensive of']",intensive - form - truly - really - klk - tkul - tm - tring - nhnhn - trp,0.2709421718161289,True
1884,kơwim,type of smoking pipe,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.439200593978149,False
1885,kơwữ,"thick paper, cloth, lips",13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,0.5575490262640806,False
1886,kỡl,head,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1887,kỡm,"taboo, prohibited",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1888,kỡm-kang,polite form of kỡm,21,21_particle_final_question_imperative,"['particle', 'final', 'question', 'imperative', 'emphasis', 'polite', 'huh', 'negative', 'marker', 'verb']","['final particle', 'final question particle ', 'final question particle']",particle - final - question - imperative - emphasis - polite - huh - negative - marker - verb,0.18175788195721476,False
1889,kỡng,spleen,22,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']",teeth - between - hold - show - pipe - liver - moustache - molars - spleen - funnylooking,0.2155718784675606,False
1890,kỡng,to weigh,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1891,kỡp,a moment,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1892,kỡt,to tie animals so that they can feed,67,67_tie_hang_tying_hook,"['tie', 'hang', 'tying', 'hook', 'well', 'banner', 'connector', 'method', 'frequently', 'knot']","['to pull, to tie well', 'to tie well (over and over)', 'to tie']",tie - hang - tying - hook - well - banner - connector - method - frequently - knot,1.0,False
1893,kỡt,of heart to stop beating,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1894,krai,a very flexible tree used to make spring traps and housepots,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.575604634965401,False
1895,kram,the large type of bamboo,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.9575314981119948,False
1896,krang,upward slope,4,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",fall - down - jump - stand - lean - upon - falling - over - up - quickly,0.7816502426490901,False
1897,krang krĕl,constipation (from swallowing seeds),53,53_stomach_bloated_bladder_stomachs,"['stomach', 'bloated', 'bladder', 'stomachs', 'gall', 'big', 'gas', 'fatcheeked', 'constipation', 'swallowing']","['of a child to have a large stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",stomach - bloated - bladder - stomachs - gall - big - gas - fatcheeked - constipation - swallowing,0.5023666775608473,False
1898,kranh,stomach pain,53,53_stomach_bloated_bladder_stomachs,"['stomach', 'bloated', 'bladder', 'stomachs', 'gall', 'big', 'gas', 'fatcheeked', 'constipation', 'swallowing']","['of a child to have a large stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",stomach - bloated - bladder - stomachs - gall - big - gas - fatcheeked - constipation - swallowing,1.0,False
1899,krao,to call,10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,0.9074952077486013,False
1900,kră,old--of people and living things,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1901,"krăk, 'long krăk",a tree with black wood that is very hard,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.901154710233124,False
1902,krăl,poison from tree used to put on arrows,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1903,krăm,to sink in water ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1904,kreh,to scratch scab of sore,20,20_scrape_dirty_clean_wash,"['scrape', 'dirty', 'clean', 'wash', 'muddy', 'scratch', 'peel', 'off', 'paint', 'wipe']","['dirty water', 'to scrape out of the way, to scrape out and throw away', 'to scrape e.g. scrape pig skin']",scrape - dirty - clean - wash - muddy - scratch - peel - off - paint - wipe,0.8894615130516202,False
1905,"kreh, 'long kreh",an instrument used to keep thread in weaving even ,18,18_weaving_thread_rope_weave,"['weaving', 'thread', 'rope', 'weave', 'string', 'instrument', 'wire', 'used', 'cotton', 'sew']","['instrument used to keep thread close together in weaving', 'instrument used carry thread in weaving', 'an instrument used to keep thread in weaving even ']",weaving - thread - rope - weave - string - instrument - wire - used - cotton - sew,1.0,True
1906,kreo-kreo,noise of crying,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,0.6565917513927557,False
1907,krep kơkrep,noise of person crying; noise of blowing on something ,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,0.7482998872518506,True
1908,kret,"to be greedy, not give in return when given to",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1909,krĕ,"of people to grow slowly, be shorter than people one's age while still growing",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1910,krĕch,to almost hit something ,54,54_hit_target_miss_slug,"['hit', 'target', 'miss', 'slug', 'shoot', 'always', 'almost', 'aim', 'affected', 'barely']","['to almost hit the target barely miss', 'to always hit the target ', 'to hit target']",hit - target - miss - slug - shoot - always - almost - aim - affected - barely,1.0,False
1911,krĕng,reddish black berry,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1912,krĕo,to castrate ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1913,krê,to be very frightened ,30,30_afraid_fearful_surprise_concerned,"['afraid', 'fearful', 'surprise', 'concerned', 'frightened', 'dangerous', 'expression', 'be', 'longtounged', 'disgust']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",afraid - fearful - surprise - concerned - frightened - dangerous - expression - be - longtounged - disgust,1.0,False
1914,krênh,to tie well (over and over),67,67_tie_hang_tying_hook,"['tie', 'hang', 'tying', 'hook', 'well', 'banner', 'connector', 'method', 'frequently', 'knot']","['to pull, to tie well', 'to tie well (over and over)', 'to tie']",tie - hang - tying - hook - well - banner - connector - method - frequently - knot,1.0,True
1915,kring,hornbill,75,75_carabao_cow_horn_rengao,"['carabao', 'cow', 'horn', 'rengao', 'rhinoceros', 'fourpoled', 'digestive', 'hornbill', 'carabaos', 'bull']","['carabao', 'the stomach of a cow, carabao', 'horn of cow or carabao used to make sound']",carabao - cow - horn - rengao - rhinoceros - fourpoled - digestive - hornbill - carabaos - bull,1.0,False
1916,krip krip,to describe someone crying,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,0.5591035331377086,False
1917,krǐp,to grab hard and quickly,52,52_grab_pull_take_caught,"['grab', 'pull', 'take', 'caught', 'pinching', 'pry', 'cupboard', 'capture', 'stuck', 'quickly']","['grab', 'to grab quickly', 'to pull out']",grab - pull - take - caught - pinching - pry - cupboard - capture - stuck - quickly,1.0,False
1918,kro,of trees and plants to be dead dried up,16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.5685811021708634,False
1919,kroǐ kroǐ,noise of person eating hard crunchy food,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,0.27072320424313534,False
1920,kron,"to keep in enclosure, imprison",10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,0.9632558384938539,False
1921,krong,river,51,51_river_sea_stream_south,"['river', 'sea', 'stream', 'south', 'ocean', 'source', 'backwater', 'north', 'mountainous', 'headwaters']","['river', 'bank of river, sea', 'deep water in river or in sea ']",river - sea - stream - south - ocean - source - backwater - north - mountainous - headwaters,1.0,True
1922,krŏch,to get hungry for when seeing someone else eat,40,40_eat_eating_appetite_hungry,"['eat', 'eating', 'appetite', 'hungry', 'enough', 'when', 'have', 'desire', 'cob', 'stuffed']","['of a woman to have a continual desire to eat', 'to get hungry for when seeing someone else eat', 'to eat ']",eat - eating - appetite - hungry - enough - when - have - desire - cob - stuffed,1.0,True
1923,krŏk krŏk,noise of child drinking,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,1.0,False
1924,krŏu,to poison fish,12,12_fish_catch_net_rod,"['fish', 'catch', 'net', 'rod', 'shrimp', 'fishing', 'string', 'hunt', 'torch', 'line']","['a type of fish', 'type of fish', 'fish']",fish - catch - net - rod - shrimp - fishing - string - hunt - torch - line,0.5814042558351119,False
1925,"krô, krô krô",often,56,56_if_never_ever_times,"['if', 'never', 'ever', 'times', 'sometimes', 'when', 'twice', 'two', 'example', 'places']","['sometimes, if, when ', 'if when ', 'if, when ']",if - never - ever - times - sometimes - when - twice - two - example - places,1.0,False
1926,krôh,back basket with the opening on the side rather than at the top used to carry belongings,66,66_basket_backbasket_strap_back,"['basket', 'backbasket', 'strap', 'back', 'small', 'carry', 'tray', 'belongings', 'bottom', 'cage']","['small back basket ', 'small back basket', 'type of basket']",basket - backbasket - strap - back - small - carry - tray - belongings - bottom - cage,0.6122284021270137,False
1927,krôǐ,orange ,19,19_black_white_skin_rainbow,"['black', 'white', 'skin', 'rainbow', 'ruddy', 'complexion', 'combination', 'pale', 'thread', 'color']","['very black, dirty black', 'black ', 'black']",black - white - skin - rainbow - ruddy - complexion - combination - pale - thread - color,1.0,False
1928,krông krang,"up and down, mountainous",51,51_river_sea_stream_south,"['river', 'sea', 'stream', 'south', 'ocean', 'source', 'backwater', 'north', 'mountainous', 'headwaters']","['river', 'bank of river, sea', 'deep water in river or in sea ']",river - sea - stream - south - ocean - source - backwater - north - mountainous - headwaters,0.3226775392349655,False
1929,krônh krônh,noise of one person crying,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,0.5912168074799623,False
1930,krônh kranh,noise of loud prolonged crying,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,0.660285613183877,False
1931,krôp,to embrace to warm baby by holding,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1932,krơt krơt,"the noise of someone teeth being cut, filed ",22,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']",teeth - between - hold - show - pipe - liver - moustache - molars - spleen - funnylooking,0.37443241889926887,False
1933,krỡ,the noise of something rubbing together,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,1.0,False
1934,krỡk krỡk,"to describe the pain of fish bone in throat, thorn in foot",12,12_fish_catch_net_rod,"['fish', 'catch', 'net', 'rod', 'shrimp', 'fishing', 'string', 'hunt', 'torch', 'line']","['a type of fish', 'type of fish', 'fish']",fish - catch - net - rod - shrimp - fishing - string - hunt - torch - line,0.8455599605267535,False
