,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
2030,let ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2031,let me go (and see about it),-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2032,"leave it, don't do anything about it ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2033,may also have the idea of throw away especially when preceded by words meaning to throw out ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2034,to stick out tongue ,34,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to open mouth', 'to bring up from throat or spit out of mouth as bad tasting medicine, seeds', 'mouth']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2035,"good, healthy, well, good-looking",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2036,rice that has its full grain ,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.30530897837957865,False
2037,gums,85,85_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to show teeth ', 'to show teeth', 'teeth']",human activity -  -  -  -  -  -  -  -  - ,0.8159969931734263,False
2038,"completely of one kind, unmixed",7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,1.0,False
2039,always,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2040,"soldier, army ",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.8699628171433236,False
2041,"to taste, lick",34,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to open mouth', 'to bring up from throat or spit out of mouth as bad tasting medicine, seeds', 'mouth']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2042,more than ,7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,0.91654156342277,False
2043,to become more and more,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2044,"intermittent, sick one day and not the next ",40,40_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very tired and weak from lack of food or sickness', 'to be very tired', 'tired ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2045,to leave off hoeing one field and go to another,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2046,"to test, try",19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,0.40890047030092824,False
2047,type of hard jackfruit,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2048,running water from rain,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,True
2049,"to shed skin, to skin",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2050,to die ,6,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['commune with the spirits, sacrifice ', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ', 'ceremony for someone who has died away from home and body not returned']",human activity -  -  -  -  -  -  -  -  - ,0.966686349935135,False
2051,oh!,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
2052,"to sway back and forth, see-saw, go up and down ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2053,"to become bigger and as dirt in front of plow, waves piling up ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2054,to roll up,66,66_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to roll up, curl up body ', 'to roll up in', 'to roll up']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
2055,"many, much",7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,1.0,False
2056,intensive of lơ,21,21_intensive_form_truly_really,"['intensive', 'form', 'truly', 'really', 'ktum', 'klk', 'tkul', 'tm', 'nhnhn', 'tring']","['intensive of hơtŭt', 'intensive of jơnap', ""intensive of 'mễ""]",intensive - form - truly - really - ktum - klk - tkul - tm - nhnhn - tring,0.25138714507601406,False
2057,intensive of lơ,21,21_intensive_form_truly_really,"['intensive', 'form', 'truly', 'really', 'ktum', 'klk', 'tkul', 'tm', 'nhnhn', 'tring']","['intensive of hơtŭt', 'intensive of jơnap', ""intensive of 'mễ""]",intensive - form - truly - really - ktum - klk - tkul - tm - nhnhn - tring,0.1045679925194692,False
2058,"profit, gain",0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.7791772745051802,False
2059,nobody there ,100,100_nothing_there_empty_gone,"['nothing', 'there', 'empty', 'gone', 'nobody', 'thought', 'remaining', 'would', 'we', 'completely']","['nothing', 'nothing there, completely gone ', 'completely gone, nothing there ']",nothing - there - empty - gone - nobody - thought - remaining - would - we - completely,1.0,False
2060,waited but nobody came,82,82_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wait, also used for future ', 'to wait ', 'to wait a long time']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2061,like that ,38,38_language___,"['language', '', '', '', '', '', '', '', '', '']","['perhaps, maybe this, maybe that ', 'like that', 'like that ']",language -  -  -  -  -  -  -  -  - ,1.0,True
2062,"why, how, how come",74,74_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tell, to teach', 'to translate interpret explain', 'to arbitrate, judge, have trial; to interpret explain']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2063,like this,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2064,to bend down and go through a hole,17,17_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['hole in paper', 'hole in wall as rat hole', 'hole in ground']",animals activity -  -  -  -  -  -  -  -  - ,0.4217757298458256,False
2065,to rub against something,54,54_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wash, wipe with water', 'clean ', 'to fade, wash out, become clean ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2066,to press through a crowd,52,52_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to jack up, lift up by putting something in under; pain or ache from objects pressing against body ', 'to pull', 'to pull']",human activity -  -  -  -  -  -  -  -  - ,0.8661175321577823,False
2067,black insect that eats leaves and is edible,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2068,to unroll ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2069,to unroll a mat,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2070,"in, inside",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2071,clay ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2072,a cow or carabao that can have no offspring,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.14259340511257765,False
2073,flood this word to water covering something,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
2074,pluralizer,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2075,cockroach,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2076,to swallow  ,34,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to open mouth', 'to bring up from throat or spit out of mouth as bad tasting medicine, seeds', 'mouth']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2077,"to go quickly, to look at",5,5_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['quickly, fast', 'to go quickly', 'fast, quickly ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2078,to believe,68,68_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to think', 'to think mistakenly ', 'to suppose, think, think mistakenly']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2079, to cover head with blanket ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2080,"to comfort, console, encourage, beg for ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2081,to have appetite for,46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,0.6872532392460624,False
2082,"the worst, to be at the end ",94,94_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to finish, be done with, get well', 'to be finished ', 'to finish ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2083,to become worse ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2084,to describe something turning over and over as log box pencil,44,44_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to turn over, a vehicle turning over', 'to have to do over and over, say over and over', 'to do over and over']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2085,to be able to fit in ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2086,to not able to fit in ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2087,to always miss target when hunting,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2088,to force into a tight place,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2089,the stagger of sick animal because one or more of its feet are lame,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2090,flute ,12,12_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['instrument used to keep thread close together in weaving', 'an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving']",human activity -  -  -  -  -  -  -  -  - ,0.24855634175666155,False
2091,type of bamboo that has thin outside,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2092,of trap to spring ,39,39_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to catch animals, trap animals', 'bird trap', 'fish trap']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2093,to describe the waving of a flag falling paper ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2094,to describe a bird gliding with large wings,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2095,descriptive of flapping wings of large bird,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2096,"tree, log",13,13_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['type of tree--very large', 'the Têt tree ', 'a type of tree']",plants -  -  -  -  -  -  -  -  - ,1.0,False
2097,to grow up (people only),-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2098,mature already (in size),29,29_size_wide_length_width,"['size', 'wide', 'length', 'width', 'large', 'big', 'crowded', 'breadth', 'tiny', 'mature']","['same in size', 'the same size', 'size']",size - wide - length - width - large - big - crowded - breadth - tiny - mature,0.4492398204265218,False
2099,young people ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2100,to describe the flapping of the wings of many birds ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2101,really in truth ,68,68_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to think', 'to think mistakenly ', 'to suppose, think, think mistakenly']",human activity -  -  -  -  -  -  -  -  - ,0.9416773668799657,False
2102,"waving of baby arms, bird's wings to beg for food, to be held",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2103,good beautiful delicious healthy ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2104,young children,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.5115068129740243,False
2105,younger brother of father or mother,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2106,person who is alleged to eat people ,25,25_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['group kind type race of people', 'person, people ', 'people ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2107,enough ,7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,0.977075926424665,False
2108,so much that even,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2109,daughter-in-law,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.6194316704621455,False
2110,gold,36,36_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['ring-type earrings', 'metal necklace (all one piece)', 'chain necklace']",human activity -  -  -  -  -  -  -  -  - ,0.6760157731663545,False
2111,white in animal forehead,20,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black ', 'very black, dirty black', 'color combination of having small spots of black and white']",human activity -  -  -  -  -  -  -  -  - ,0.5043752720443282,False
2112,hot dry season,23,23_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['dry season ', 'hot dry season', 'hot dry season']",human activity -  -  -  -  -  -  -  -  - ,0.584142256625931,True
2113,"metal, iron, steel ",36,36_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['ring-type earrings', 'metal necklace (all one piece)', 'chain necklace']",human activity -  -  -  -  -  -  -  -  - ,0.9346307632627087,False
2114,pen ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2115,to shape form with mud cement to build with these materials,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2116,to mourn for dead,6,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['commune with the spirits, sacrifice ', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ', 'ceremony for someone who has died away from home and body not returned']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2117,a linking word sometimes similar in use to a relative pronoun in English but it also may link two verbs ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2118,do it for a long time ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2119,but,56,56_language___,"['language', '', '', '', '', '', '', '', '', '']","['clause and sentence-level conjunction--then therefore so', 'then, therefore ( then in a logical sense not time) ', 'then, so, now, therefore ']",language -  -  -  -  -  -  -  -  - ,0.6029214723841481,False
2120,even though,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2121,"responsibility, blame, fault ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2122,night,63,63_morning_night_early_evening,"['morning', 'night', 'early', 'evening', 'star', 'nightblindness', 'oclock', 'afternoon', 'nighthawk', 'three']","['at night night time', 'to go early in the morning', 'early in the morning']",morning - night - early - evening - star - nightblindness - oclock - afternoon - nighthawk - three,1.0,False
2123,firefly,18,18_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']",animals activity -  -  -  -  -  -  -  -  - ,0.48663084267592255,False
2124,small moth ,18,18_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']",animals activity -  -  -  -  -  -  -  -  - ,0.5223092669856876,False
2125,to be wild,28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,0.9140479769564251,False
2126,eye,59,59_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","[""to have something in one's eyes"", 'to describe a person with big eyes looking intently at something', 'to describe a person with small eyes looking intently at something ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2127,expensive,55,55_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be very rich', 'to pay fine, give back, make restitution, pay rent ', 'to be greedy, not give in return when given to']",human activity -  -  -  -  -  -  -  -  - ,0.9374634674719612,False
2128,name,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2129,moth,18,18_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']",animals activity -  -  -  -  -  -  -  -  - ,0.5223092669856876,False
2130,straw whistle,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.06806193185480272,False
2131,cat,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2132,mother,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.18559404568346816,False
2133,"to miss someone and think about them continually, to wait expectantly for",82,82_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wait, also used for future ', 'to wait ', 'to wait a long time']",human activity -  -  -  -  -  -  -  -  - ,0.8693260417944016,False
2134,mask to scare people ,30,30_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",human activity -  -  -  -  -  -  -  -  - ,0.5587386642940277,False
2135,in-laws,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.2868862581955857,False
2136,American,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2137,father's or mother's elder brother ,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2138,"to fix, in some dialects to place, change position of",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2139,"to placate the spirits, term used when sacrifices are made ",6,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['commune with the spirits, sacrifice ', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ', 'ceremony for someone who has died away from home and body not returned']",human activity -  -  -  -  -  -  -  -  - ,0.20029800504368034,False
2140,rice field (usually wet rice),3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.942632714986097,False
2141,jackfruit,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2142,"to hate, have bad attitude toward, be angry with ",15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,1.0,False
2143,wild carabao,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2144,one ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2145,firecracker,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2146,large circular things,29,29_size_wide_length_width,"['size', 'wide', 'length', 'width', 'large', 'big', 'crowded', 'breadth', 'tiny', 'mature']","['same in size', 'the same size', 'size']",size - wide - length - width - large - big - crowded - breadth - tiny - mature,0.7833104955798493,False
2147,balloon,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
